Country ,Code,Year,Total across all levels of education
India,IND,1997,3.36136
India,IND,1998,3.57256
India,IND,1999,4.41539
India,IND,2000,4.32479
India,IND,2003,3.61341
India,IND,2004,3.35254
India,IND,2005,3.18875
India,IND,2006,3.14285
India,IND,2009,3.27825
India,IND,2010,3.37769
India,IND,2011,3.79618
India,IND,2012,4.0847983
India,IND,2013,3.84467
India,IND,2014,3.8987803
India,IND,2015,4.1149917
India,IND,2016,4.2565165
India,IND,2017,4.306397
India,IND,2018,4.3769326
India,IND,2019,3.8973236
India,IND,2020,4.0401416
India,IND,2021,4.629499
India,IND,2022,4.098658
